,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
mom_5,-0.08069061796521065,-0.08127221729172596,-0.07645817791027765,-0.1162554441408765,-0.08172249440663978,-0.04518223697676194,-0.06432054634289043,-0.07807395665226649,-0.05757207800734885,-0.059398347228996146,-0.06737847571566569,-0.021211287475219495,-0.022370077476963082,-0.027504816092113745,-0.014200569029991908,-0.015247111198450188,-0.02903834693116891,-0.004668837667612408,-0.012342985337944295,-0.040931359429685385,0.009326709603319982
mom_20,-0.03727669818071102,-0.037355616685482367,-0.06399292949268073,-0.07533844410516492,-0.03917339062686445,-0.029528165251685463,-0.057324862825104475,-0.06431291068845199,-0.018020940570192545,-0.07822965211553191,-0.07673329853157025,-0.02310731062081036,-0.03314272488047908,-0.05905034250132339,-0.015697449396171032,-0.013228569908400697,-0.03612512645752374,-0.025383901114911046,-0.021402181934201434,-0.05466062337833819,0.02234477260504977
mom_60,-0.013985673197448123,-0.05273495206679348,-0.03653192069726061,-0.05340512412654827,-0.031899172130008153,-0.029856368947114277,-0.0647932883566521,-0.02840616529703248,-0.03554643490699627,-0.09257756926096407,-0.05530806192007603,0.0018104642605715703,-0.021413554589333018,-0.0446566939917525,-4.6201179731805516e-05,-0.04998061774038974,-0.04180931362227387,-0.017301820430736612,-0.03491010261771122,-0.03790077492405847,0.023205649843535212
mom_120,-0.0084358643085562,-0.051861130198999454,-0.0366825732914309,-0.0592157484797126,0.0071584064744990685,-0.03461286245533243,-0.05549518629529558,-0.0028438378607527886,-0.013969171646084319,-0.09438762912923389,-0.02573096283769737,0.014742816405488659,-0.002276480816702792,-0.03067555469483765,0.03073634736288173,-0.024891069597026708,-0.0550174143712499,-0.0017769534101863265,-0.030687633261245476,-0.029714839375902132,0.035630521607664015
mom_250,,-0.03815627240574854,-0.04003952158637843,-0.060320183176413994,0.005449660158951679,-0.03660096156442064,-0.0010560825739370742,0.014823896486200219,-0.01594658181302171,-0.0723114469684535,-0.0213100315785174,0.018987743701332608,-9.077604919406149e-05,-0.01185089902094971,0.031835746235852745,-0.022660037707682795,-0.007695397830853456,-0.007691026589550619,-0.005281143227658977,-0.009350566971914274,0.046376546082911564
mom_12_1,,-0.023729343268252778,-0.017235898077062915,-0.03799222512342398,0.01826627708334818,-0.024417612315108368,0.021736347793796486,0.03286262881693374,-0.011313592263090052,-0.036419429502300905,-0.001803730210700647,0.02591468991548737,0.009660740911188277,0.00825146281593584,0.04140651525446547,-0.015894943992775162,0.006362435309280551,0.00021144874481104467,0.007685446420964857,0.005868283284723325,0.042558596341320074
rev_5,0.08069061796521065,0.08127221729172596,0.07645817791027765,0.1162554441408765,0.08172249440663978,0.04518223697676194,0.06432054634289043,0.07807395665226649,0.05757207800734885,0.059398347228996146,0.06737847571566569,0.021211287475219495,0.022370077476963082,0.027504816092113745,0.014200569029991908,0.015247111198450188,0.02903834693116891,0.004668837667612408,0.012342985337944295,0.040931359429685385,-0.009326709603319982
rev_20,0.03727669818071102,0.037355616685482367,0.06399292949268073,0.07533844410516492,0.03917339062686445,0.029528165251685463,0.057324862825104475,0.06431291068845199,0.018020940570192545,0.07822965211553191,0.07673329853157025,0.02310731062081036,0.03314272488047908,0.05905034250132339,0.015697449396171032,0.013228569908400697,0.03612512645752374,0.025383901114911046,0.021402181934201434,0.05466062337833819,-0.02234477260504977
rev_60,0.013985673197448123,0.05273495206679348,0.03653192069726061,0.05340512412654827,0.031899172130008153,0.029856368947114277,0.0647932883566521,0.02840616529703248,0.03554643490699627,0.09257756926096407,0.05530806192007603,-0.0018104642605715703,0.021413554589333018,0.0446566939917525,4.6201179731805516e-05,0.04998061774038974,0.04180931362227387,0.017301820430736612,0.03491010261771122,0.03790077492405847,-0.023205649843535212
rev_intraday,0.029213166231064545,0.019445742056834487,0.01698844638880618,0.054946979115194486,0.03589479683577908,0.013452368009924115,0.023352597765220796,0.030531764888585555,0.03868917548952888,0.034551023496723815,0.025326549975753582,0.02397904104453192,0.024916096575576658,0.026932647671032935,0.007412711154178094,0.01271678240309175,0.02792123696892232,0.01424001520871899,-0.00738212013876289,0.027188764901693287,0.0012387821976889161
